"CreatedBy","CreatedDateTime","id","configkey","LastUpdatedBy","LastUpdatedDateTime","SoftDeleteFlag","value","configurationBundle_id","type"
"user1","24-Jan-2017 16:09:16","1","PREF_ENABLE_SURVEYS","user1","24-Jan-2017 16:09:16","false","OFF","1","PREFERENCE"
"user1","24-Jan-2017 16:10:00","2","PREF_IDLE_SESSION_TIMEOUT","user1","24-Jan-2017 16:10:00","false","10","1","PREFERENCE"
"user1","24-Jan-2017 16:10:54","3","PREF_MAXIMUMAGE_GPS","user1","14-Feb-2017 08:43:03","false","360000","1","PREFERENCE"
"user1","24-Jan-2017 16:11:20","4","PREF_GPS_MINIMUMTIMER_FREQUENCY","user1","14-Feb-2017 07:44:59","false","1800000","1","PREFERENCE"
"user1","24-Jan-2017 16:11:39","5","PREF_BACKEND_CONNECTOR","user1","31-Jan-2017 08:58:39","false","ECC","1","PREFERENCE"
"user1","24-Jan-2017 16:12:05","6","PREF_DATA_CLEAN","user1","24-Jan-2017 16:12:05","false","30","1","PREFERENCE"
"user1","24-Jan-2017 16:12:27","7","PREF_MAP_GPS_TIMEOUT","user1","13-Feb-2017 10:36:10","false","15000","1","PREFERENCE"
"user1","24-Jan-2017 16:12:43","8","PREF_ADDRESS_LENGTH","user1","13-Feb-2017 10:37:25","false","46","1","PREFERENCE"
"user1","24-Jan-2017 16:13:04","9","PREF_DATE_FORMAT","user1","13-Feb-2017 10:38:54","false","YYYY-MM-DD","1","PREFERENCE"
"user1","31-Jan-2017 07:36:54","10","PREF_DATE_FORMAT_WITH_TIME","user1","31-Jan-2017 07:36:54","false","YYYY-MM-DD HH:mm:ss","1","PREFERENCE"
"user1","31-Jan-2017 07:41:50","11","PREF_DATE_FORMAT_DDMMYYYY","user1","31-Jan-2017 07:41:50","false","DD/MM/YYYY","1","PREFERENCE"
"user1","31-Jan-2017 07:42:31","12","PREF_DB_DATE_FORMAT","user1","31-Jan-2017 07:42:31","false","YYYYMMDDHHmmss","1","PREFERENCE"
"user1","31-Jan-2017 07:43:22","13","PREF_DATE_FORMAT_MMDDYY","user1","31-Jan-2017 07:43:22","false","MM/DD/YY","1","PREFERENCE"
"user1","31-Jan-2017 07:44:33","14","PREF_CONNECTOR","user1","12-Feb-2017 06:04:42","false","ECC","1","PREFERENCE"
"user1","31-Jan-2017 07:47:12","15","PREF_MAP_MYORDERLIST_ZOOM_VALUE","user1","31-Jan-2017 07:47:12","false","10","1","PREFERENCE"
"user1","31-Jan-2017 07:49:29","16","PREF_MAXIMUMAGE_GPS","user1","31-Jan-2017 07:49:29","false","360000","1","PREFERENCE"
"user1","31-Jan-2017 07:50:00","17","PREF_GPS_MINIMUMTIMER_FREQUENCY","user1","31-Jan-2017 07:50:00","false","1800000","1","PREFERENCE"
"user1","31-Jan-2017 07:50:45","18","PREF_NO_OF_DAYS","user1","31-Jan-2017 07:50:45","false","5","1","PREFERENCE"
"user1","31-Jan-2017 07:51:03","19","PREF_DESCRIPTION_LENGTH","user1","31-Jan-2017 07:51:03","false","42","1","PREFERENCE"
"user1","31-Jan-2017 07:51:29","20","PREF_MAP_DESCRIPTION_LENGTH","user1","31-Jan-2017 07:51:29","false","25","1","PREFERENCE"
"user1","31-Jan-2017 07:51:53","21","PREF_NO_OF_DOTS_AFTERTRUNCATION","user1","31-Jan-2017 07:51:53","false","3","1","PREFERENCE"
"user1","31-Jan-2017 07:56:27","22","PREF_TIMER_FORMAT","user1","31-Jan-2017 07:56:27","false","HH:MM","1","PREFERENCE"
"user1","31-Jan-2017 07:57:34","23","PREF_MAP_ROUTE_LINE_WIDTH","user1","31-Jan-2017 07:57:34","false","4","1","PREFERENCE"
"user1","31-Jan-2017 07:58:23","24","PREF_SURVEY_MAXLENGTH","user1","31-Jan-2017 07:58:23","false","20","1","PREFERENCE"
"user1","31-Jan-2017 07:58:50","25","PREF_SURVEY_ANSWER_MAXLENGTH","user1","31-Jan-2017 07:58:50","false","40","1","PREFERENCE"
"user1","31-Jan-2017 08:00:31","26","PREF_MAPAPIKEY","user1","31-Jan-2017 08:00:31","false","AIzaSyAJOkl-7hJ08jbE5sBZs9Da9qrHP_XhXro","1","PREFERENCE"
"user1","31-Jan-2017 08:01:35","27","PREF_DIRECTIONSERVICEURL","user1","31-Jan-2017 08:01:35","false","https://maps.googleapis.com/maps/api/directions/json","1","PREFERENCE"
"","02-Feb-2017 09:17:21","28","PREF_COMPRESSION_VAL","","02-Feb-2017 09:17:21","true","30","1","PREFERENCE"
"","02-Feb-2017 09:31:35","29","PREF_COMPRESSION_VAL","","02-Feb-2017 09:31:35","true","30","1","PREFERENCE"
"","02-Feb-2017 09:34:24","30","PREF_COMPRESSION_VAL","","02-Feb-2017 09:34:24","false","30","1","PREFERENCE"
"","10-Feb-2017 11:16:53","31","PREFDATA","","10-Feb-2017 11:16:53","true","{""PREF_CONNECTOR"":""ECC"",""PREF_DATA_CLEAN"":""30""}","1","PREFERENCE"
